ts,slug,token_id,decision_type,mid,action_side,action_price,action_size,spread,sport,ref_source,fair_a,fair_b,momentum,symbol,book_edge_delta,book_size_mult,retrieved_categories,exit_sweep,crypto_exit,exit_reason,exit_reason_category,pnl_pct_at_exit,cash_pnl_usdc,realized_pnl,percent_pnl_current,outcome,market_resolved,holding_hours
2026-06-10T23:05:41.734090+00:00,eth-updown-4h-1781121600,,hold,0.085,,,,,,,,,0.0039052313958252913,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:41.898580+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.995,SELL,0.992,113.84,,,,,,,,,,,,True,TAKE-PROFIT: +559.2% >= 8.0% — locking gains,TAKE-PROFIT,559.2,,,,win,,0.1
2026-06-10T23:05:41.900653+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:42.204730+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,,hold,0.465,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:42.222677+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:42.265773+00:00,btc-updown-4h-1781121600,,hold,0.05,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:52.135342+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.005,SELL,0.002,113.84,,,,,,,,,,,True,,TAKE-PROFIT: +559.2% >= 8.0% — locking gains,TAKE-PROFIT,559.2,,,,win,,0.1
2026-06-10T23:05:56.175356+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.0039052313958252913,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:56.277301+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:56.293452+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.995,SELL,0.992,113.84,,,,,,,,,,,,True,TAKE-PROFIT: +559.2% >= 8.0% — locking gains,TAKE-PROFIT,559.2,,,,win,,0.1
2026-06-10T23:05:56.363828+00:00,eth-updown-4h-1781121600,,hold,0.085,,,,,,,,,0.0039052313958252913,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:56.405093+00:00,btc-updown-4h-1781121600,,hold,0.05,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:56.413269+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,,hold,0.475,,,,,,,,,0.001436967616313714,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:05:56.547404+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:06:06.162245+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.005,SELL,0.002,113.84,,,,,,,,,,,True,,TAKE-PROFIT: +559.2% >= 8.0% — locking gains,TAKE-PROFIT,559.2,,,,win,,0.11
2026-06-10T23:06:11.300441+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.995,SELL,0.992,113.84,,,,,,,,,,,,True,TAKE-PROFIT: +559.2% >= 8.0% — locking gains,TAKE-PROFIT,559.2,,,,win,,0.11
2026-06-10T23:06:11.388800+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.0039052313958252913,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
